Date;Region/City-Eng;Region_ID;Day-Confirmed;Day-Deaths;Day-Recovered;Confirmed;Deaths;Recovered
26.01.2020;Diamond Princess;;3.0;0.0;0.0;3.0;0.0;0.0
31.01.2020;Tyumen region;72.0;1.0;0.0;0.0;1.0;0.0;0.0
31.01.2020;Zabaykalsky Krai;75.0;1.0;0.0;0.0;1.0;0.0;0.0
12.02.2020;Tyumen region;72.0;0.0;0.0;1.0;1.0;0.0;1.0
12.02.2020;Zabaykalsky Krai;75.0;0.0;0.0;1.0;1.0;0.0;1.0
03.02.2020;Moscow region;50.0;1.0;0.0;0.0;1.0;0.0;0.0
05.03.2020;St. Petersburg;78.0;1.0;0.0;0.0;1.0;0.0;0.0
06.03.2020;Moscow;77.0;5.0;0.0;0.0;5.0;0.0;0.0
06.03.2020;Nizhny Novgorod Region;52.0;1.0;0.0;0.0;1.0;0.0;0.0
06.03.2020;Diamond Princess;;0.0;0.0;3.0;3.0;0.0;3.0
07.03.2020;Moscow;77.0;0.0;0.0;1.0;5.0;0.0;1.0
07.03.2020;St. Petersburg;78.0;1.0;0.0;0.0;2.0;0.0;0.0
07.03.2020;Lipetsk region;48.0;3.0;0.0;0.0;3.0;0.0;0.0
08.03.2020;Moscow region;50.0;1.0;0.0;0.0;2.0;0.0;0.0
08.03.2020;Belgorod region;31.0;1.0;0.0;0.0;1.0;0.0;0.0
08.03.2020;Kaliningrad region;39.0;1.0;0.0;0.0;1.0;0.0;0.0
09.03.2020;Moscow;77.0;3.0;0.0;0.0;8.0;0.0;1.0
11.03.2020;Moscow;77.0;6.0;0.0;0.0;14.0;0.0;1.0
11.03.2020;Moscow region;50.0;2.0;0.0;0.0;4.0;0.0;0.0
12.03.2020;Moscow;77.0;4.0;0.0;0.0;18.0;0.0;1.0
12.03.2020;Kaliningrad region;39.0;1.0;0.0;0.0;2.0;0.0;0.0
12.03.2020;Krasnodar region;23.0;1.0;0.0;0.0;1.0;0.0;0.0
13.03.2020;Moscow;77.0;5.0;0.0;0.0;23.0;0.0;1.0
13.03.2020;Moscow region;50.0;1.0;0.0;0.0;5.0;0.0;0.0
13.03.2020;St. Petersburg;78.0;3.0;0.0;0.0;5.0;0.0;0.0
13.03.2020;Leningrad region;47.0;1.0;0.0;0.0;1.0;0.0;0.0
13.03.2020;Perm;59.0;1.0;0.0;0.0;1.0;0.0;0.0
14.03.2020;Moscow;77.0;9.0;0.0;0.0;32.0;0.0;1.0
14.03.2020;Moscow region;50.0;1.0;0.0;0.0;6.0;0.0;0.0
14.03.2020;St. Petersburg;78.0;1.0;0.0;0.0;6.0;0.0;0.0
14.03.2020;Kemerovo region;42.0;2.0;0.0;0.0;2.0;0.0;0.0
14.03.2020;Kaliningrad region;39.0;1.0;0.0;0.0;3.0;0.0;0.0
15.03.2020;Moscow region;50.0;3.0;0.0;0.0;9.0;0.0;0.0
15.03.2020;Tyumen region;72.0;1.0;0.0;0.0;2.0;0.0;1.0
16.03.2020;Moscow;77.0;20.0;0.0;0.0;52.0;0.0;1.0
16.03.2020;St. Petersburg;78.0;3.0;0.0;2.0;9.0;0.0;2.0
16.03.2020;Moscow region;50.0;1.0;0.0;0.0;10.0;0.0;0.0
16.03.2020;Samara Region;63.0;3.0;0.0;0.0;3.0;0.0;0.0
